Year,Artist,Album
1985,SUE THOMPSON,James (Hold The Ladder Steady)
1985,Sergio Mendes / Black Eyed Peas,Mas Que Nada
1985,Stevie Ray Vaughan And Double Trouble,Couldn't Stand The Weather
1985,Stevie Ray Vaughan And Double Trouble,Cold Shot
1985,The Clash,Life Is Wild
1985,The Velvet Underground,Stephanie Says
1986,Adrenalin O.D.,Anarchy in the UK (Sex Pistols) (Bonus Track)
1986,Bad Company,Valerie (LP Version)
1986,Big Audio Dynamite,Badrock City
1986,BoDeans,Lookin' For Me Somewhere
1986,Bon Jovi,Raise Your Hands
1986,Charlie Peacock,Down in the Lowlands
1986,Chris Rea,Driving Home For Christmas
1986,Descendents,Orgofart
1986,Descendents,Cheer
1986,Eurythmics,Missionary Man
1986,Eurythmics,A Little Of You
1986,Faron Young,It's Four In The Morning
1986,Fastway,Kill Me With Your Heart
1986,Gabriel Yared,Chile con carne
1986,Gene Pitney,Every Breath I Take
1986,Guns N' Roses,Mama Kin
1986,James Horner,Atmosphere Station
1986,Janet Jackson,When I Think Of You
1986,John Fogerty,Headlines
1986,John Fogerty,Soda Pop
1986,Juan Carlos Baglietto,Como Boomerang
1986,Kenny G,Don't Make Me Wait For Love
1986,Lionel Richie,Tonight Will Be Alright
1986,Lizzy Borden,Generation Aliens
1986,Los Fabulosos Cadillacs,Noches Arabes
1986,Lou Ann Barton,Please Come Home For Christmas
1986,Madonna,Papa Don't Preach
1986,Randy Travis,On The Other Hand (Album Version)
1986,Restless Heart,That Rock Won't Roll
1986,Shriekback,Running On The Rocks
1986,Soul Asylum,Freaks (Album Version)
1986,Soul Asylum,Don't It (make Your Troubles Seem Small) (Album Version)
1986,Talking Heads,Papa Legba (2005 Digital Remaster)
1986,Tesla,Gettin' Better
1986,The B-52's,Wig
1986,The Fabulous Thunderbirds,Why Get Up
1986,UK Subs,Sk8 Tough
1987,Aerosmith,Angel
1987,Angelo Badalamenti,Jeffrey's Dark Side
1987,Blue Rodeo,Floating
1987,Buckwheat Zydeco,Hot Tamale Baby
1987,Butthole Surfers,All Day
1987,Butthole Surfers,22 Going On 23
1987,Cockney Rejects,Beginning Of The End
1987,Danny Wilson,Spencer-Tracey
1987,Don Gibson,A Legend In My Time
1987,Don Gibson,Who Cares
1987,Don Gibson,Blue Blue Day
1987,Eric B. & Rakim,I Know You Got Soul
1987,Gene Simmons,Haunted House
1987,Gipsy Kings,Tu Quieres Volver
1987,Grandmaster Flash,Underarms
1987,Guns N' Roses,You're Crazy
1987,Guns N' Roses,Sweet Child O' Mine
1987,Happy Mondays,Olive Oil
1987,Joe Satriani,Midnight
1987,Joe Satriani,Echo
1987,John Hiatt,Memphis In The Meantime
1987,John Mellencamp,Down And Out In Paradise
1987,Kool Moe Dee,How Ya Like Me Now
1987,Kool Moe Dee,Way Way Back
1987,Los Chichos,Porque Nos Queremos
1987,Mary Black,Katie
1987,Michael Jackson,Dirty Diana
1987,Mötley Crüe,Wild Side
1987,Penguin Café Orchestra,Horns Of The Bull
1987,Poncho Sanchez,Manteca
1987,Rick Astley,Never Gonna Give You Up
1987,Rick Astley,You Move Me
1987,SUMO,Noche De Paz
1987,Sergio Franchi,Silent Night
1987,Simply Red,Maybe Someday...
1987,Soda Stereo,Persiana Americana (Live)
1987,Suicidal Tendencies,Two-Sided Politics
1987,Suicidal Tendencies,Human Guinea Pig
1987,Suicidal Tendencies,Looking In Your Eyes
1987,The Wes Montgomery Trio,Satin Doll
1987,Tito Puenté,Bata 6/8
1987,Tones On Tail,Burning Skies
1987,William Orbit,Love My Way
1987,Y&T,Contagious
1988,Aerosmith,What It Takes
1988,Asleep At The Wheel,Hot Rod Lincoln
1988,Charlie Peacock,Hot Night Downtown
1988,Charlie Peacock,Tears Falling Down
1988,Daryl Hall & John Oates,Everything Your Heart Desires
1988,DeGarmo & Key,Destined To Win
1988,Der Plan,Frisch Verliebt
1988,Der Plan,Alte Pizza
1988,Eazy-E,I'mma Break It Down
1988,Eric B. & Rakim,Follow The Leader
1988,Eric Burdon,Comeback
1988,Eric Burdon,Devil's Daughter
1988,Guns N' Roses,Patience
1988,Happy Mondays,"Wrote For Luck (12"" - Remastered version)"
1988,Happy Mondays,Performance (Remastered)
1988,Henry Lee Summer,I Wish I Had A Girl
1988,Hurricane,I'm On To You
1988,Information Society,Make It Funky (Album Version)
1988,Jane's Addiction,Standing In The Shower... Thinking ( LP Version )
1988,Janis Joplin,Raise Your Hand
1988,Jay & The Americans,Some Enchanted Evening
1988,Jimmy Page,Hummingbird
1988,Jimmy Page,Liquid Mercury
1988,Jimmy Page,Writes Of Winter
1988,John Mayall & The Bluesbreakers,I'm Your Witchdoctor
1988,L.A. Guns,Bitch Is Back
1988,Los Fabulosos Cadillacs,Twist Y Gritos (Twist & Shout)
1988,Mike And The Mechanics,Nobody's Perfect
1988,Mike And The Mechanics,Seeing Is Believing
1988,Patricia Kaas,Elle Voulait Jouer Cabaret
1988,Perrey And Kingsley,The Unidentified Flying Object
1988,Phil Collins,Two Hearts
1988,Pursuit Of Happiness,Hard To Laugh
1988,Pursuit Of Happiness,Killed By Love
1988,Pursuit Of Happiness,She's So Young
1988,Pursuit Of Happiness,Down On Him
1988,Quincy Jones,Exodus
1988,Quincy Jones,Stormy Weather
1988,RUN-DMC,Crack
1988,RUN-DMC,Run's House
1988,RUN-DMC,Miss Elaine
1988,Robben Ford,I Got Over It (Album Version)
1988,Robben Ford,Ain't Got Nothin' But The Blues (Album Version)
1988,Robben Ford,Talk To Your Daughter (Album Version)
1988,Sade,Paradise
1988,Salt-N-Pepa,Push It
1988,Sex Pistols,God Save the Queen (Live)
1988,Shinehead,Golden Touch (LP Version)
1988,Six Brown Brothers,Battery Acid
1988,Skeeter Davis,My Last Date (With You)
1988,Skeeter Davis,My Last Date (With You)
1988,Soda Stereo,Terapia De Amor Intensiva
1988,Spliff,S.O.S.
1988,Stephan Micus,Part 1 (19 Flowerpots_ 2 Hammered Dulcimers_ Bavarian Zither_ Shakuhachi)
1988,Stevie Ray Vaughan And Double Trouble,Mary Had A Little Lamb
1988,Stevie Ray Vaughan And Double Trouble,Mary Had A Little Lamb
1988,The Jeff Healey Band,My Little Girl
1988,The Jeff Healey Band,See The Light
1988,Vixen,American Dream
1988,Vixen,One Night Alone
1988,fIREHOSE,Rhymin' Spielin'
1989,45 Grave,Party Time
1989,45 Grave,Consumers (Album Version)
1989,Aerosmith,Janie's Got A Gun
1989,Alberto Cortez,Distancia
1989,André Verchuren,Maria Morena
1989,André Verchuren,Aviatic
1989,Beastie Boys,Shadrach
1989,Blind Willie Johnson,Jesus Is Coming Soon
1989,Blind Willie Johnson,God Don't Never Change
1989,BoDeans,You Don't Get Much
1989,Byther Smith,I Wish My Mother Was Here
1989,Charlie Byrd,Chim Chim Cheree
1989,Constance Demby,Moving On
1989,Constance Demby,Javalon
1989,Cookie Crew,"Got To Keep On (12"" Version)"
1989,Danger Danger,Rock America
1989,Danny Wilson,Never Gonna Be The Same
1989,Danny Wilson,The Second Summer Of Love
1989,EPMD,Please Listen To My Demo
1989,Enuff Z 'Nuff,Fly High Michelle
1989,Fiona,Everything You Do [You're Sexing Me] [Duet with Kip Winger] (Album Version)
1989,Gabinete Caligari,El Arte De Amar
1989,Gerard Lenorman,Soldats Ne Tirez Pas
1989,Gipsy Kings,Camino
1989,Jacques Dutronc,L'Homme De Paille
1989,Jesus Jones,All The Answers
1989,Jimi Hendrix,Hear My Train A Comin'
1989,John Michael Talbot,Pass Through My Will
1989,Kool Moe Dee,Knowledge Is King
1989,Kool Moe Dee,I Go To Work
1989,L.A. Guns,Magdalaine
1989,Lisa Lisa & Cult Jam (featuring Full Force),U Never Nu How Good U Had It
1989,Los Auténticos Decadentes,Pastas Y Vino
1989,Los Auténticos Decadentes,El Jorobadito
1989,Los Fabulosos Cadillacs,El Mensaje Soy Yo
1989,Luiz Bonfa,Manhã de Carnaval
1989,Marc Lavoine,C'est La Vie
1989,Margaret Becker,Start The Fire
1989,Mighty Mighty Bosstones,Patricia
1989,Mighty Mighty Bosstones,Do Somethin' Crazy
1989,N.W.A.,A B***** Is A B***** (Edited)
1989,New Order,Guilty Partner
1989,Nine Inch Nails,Sin
1989,Otis Spann,Evil Ways
1989,Otis Spann,Half Ain't Been Told
1989,Paul Carrack,Dedicated
1989,Paul Carrack,I'm On Your Tail
1989,Pee Wee King,Slow Poke
1989,Ray Price,Make The World Go Away
1989,Rickie Lee Jones,Just My Baby
1989,Rickie Lee Jones,Love Is Gonna Bring Us Back Alive
1989,Rickie Lee Jones,Away From The Sky
1989,SUMO,Pinini Reggae
1989,Sam Fan Thomas,African Typic Collection
1989,Savoy Brown,All Burned Out
1989,Shawn Colvin,Another Long One
1989,Shawn Colvin,Cry Like An Angel
1989,Suzanne Ciani,Mozart
1989,Ten Years After,Victim Of Circumstance
1989,Tesla,The Way It Is
1989,The Fabulous Thunderbirds,Rainin' In My Heart
1989,The Field Mice,When Morning Comes To Town
1989,The Jeff Healey Band,Hoochie Coochie Man
1989,Tommy James And The Shondells,Out Of The Blue
1989,Tommy James And The Shondells,Gettin' Together
1989,fIREHOSE,Let The Drummer Have Some
1990,Alan Silvestri,We're Out Of Gas
1990,Alice In Chains,I Know Somethin (Bout You)
1990,Beherit,Witchcraft
1990,Big Dee Irwin,Swinging On A Star
1990,Bill Douglas,Highland
1990,Billie Jo Spears,'57 Chevrolet
1990,Bob Neuwirth,Biding Her Time
1990,Carl Smith,Loose Talk
1990,Charley Patton,Circle Round The Moon
1990,Darden Smith,Midnight Train
1990,Darden Smith,Frankie & Sue
1990,Daryl Hall & John Oates,Only Love
1990,Dee Clark,Just Keep It Up
1990,Donny Hathaway,I Love You More Than You'll Ever Know (LP Version)
1990,EPMD,Mr. Bozack
1990,EPMD,Give The People
1990,EPMD,I'm Mad
1990,EPMD,For My People
1990,Esa Pakarinen,Hengähä tok
1990,Esa Pakarinen,Vanhapoika-Severi
1990,Esa Pakarinen,Lentävä kalakukko
1990,Esa Pakarinen,Miina ja Mikko markkinoilla
1990,Fast Eddie,Yo Yo Get Funky
1990,Fenton Robinson,Somebody Loan Me A Dime
1990,Firehouse,Rock On The Radio
1990,Firehouse,Don't Treat Me Bad
1990,Fito Paez,Tercer Mundo
1990,George Michael,Praying For Time
1990,Happy Mondays,Grandbag's Funeral
1990,Heavenly,Over And Over
1990,Iggy Pop,Main Street Eyes
1990,Iggy Pop,5 Foot 1
1990,Information Society,Hack 1/Charlie X
1990,Information Society,Slipping Away/Here Is Kazmeyer
1990,Inspiral Carpets,Commercial Reign
1990,Inspiral Carpets,Commercial Reign
1990,Jane's Addiction,Obvious ( LP Version )
1990,Jane's Addiction,Ain't No Right ( LP Version )
1990,Jawoll,Rendezvous - Ich hab' Dich seit langem nicht gesehen
1990,Jay & The Americans,Let's Lock The Door (And Throw Away The Key)
1990,Jay & The Americans,Tomorrow
1990,Jesus Jones,Nothing To Hold Me
1990,Jim Reeves,I Guess I'm Crazy
1990,Jim Reeves,Mexican Joe
1990,Kitty Wells,Makin' Believe
1990,Kurtis Blow,I'm Chillin
1990,Los Fabulosos Cadillacs,Electrasonic V
1990,Mariah Carey,Someday
1990,Minnie Riperton,Les Fleurs
1990,Orbital,Chime (edit)
1990,Otis Spann,Spann's Boogie
1990,Otis Spann,Must Have Been The Devil
1990,Phil Collins,You Can't Hurry Love (Live)
1990,RUN-DMC,Faces
1990,RUN-DMC,Bob Your Head
1990,Sandy Posey,When Will I Be Loved
1990,Slim Whitman,Indian Love Call
1990,Soda Stereo,Entre Caníbales
1990,Stanley Clarke & George Duke,Finding My Way
1990,Tam Tam Go!,Better Ways
1990,Teena Marie,How Can You Resist It
1990,The Field Mice,Below The Stars
1990,The Roches,We Three Kings
1990,The Vaughan Brothers,Hillbillies From Outerspace
1990,The Vaughan Brothers,Good Texan
1990,The Vaughan Brothers;Stevie Ray Vaughan;Jimmy Vaughan,Telephone Song
1990,The Vaughan Brothers;Stevie Ray Vaughan;Jimmy Vaughan,Long Way From Home
1990,Twila Paris,How Beautiful (Cry For The Desert Album Version)
1990,Vangelis,Procession
1990,Vangelis,Twilight
1990,Venice,All My Life (LP Version)
1990,Zebra,The Ocean (Live Version)
1991,A Tribe Called Quest,Scenario
1991,Aerosmith,Milkcow Blues
1991,At The Gates,City Of Screaming Statues
1991,Be Bop Deluxe,Sister Seagull (Live)
1991,BeauSoleil,'Ti Monde (LP Version)
1991,Bessie Smith,Chicago Bound Blues
1991,Blind Boy Fuller,Big Leg Woman Gets My Pay
1991,Blind Willie Johnson,Church_ I'm Fully Saved Today
1991,Blind Willie Johnson,You'll Need Somebody On Your Bond
1991,Blind Willie Johnson,John the Revelator
1991,Bob Marley,Lively Up Yourself
1991,Bob Wills,Bubbles in My Beer
1991,Bob Wills,South
1991,Boyz II Men,Motownphilly
1991,Britny Fox,Over And Out [Album Version]
1991,Bruno Sanfilippo,The Flight of the serpentarius
1991,Burning Spear,Tumble Down
1991,Capleton,When Me A Move
1991,Carl Cox Vs Yousef,I Want You (Forever)
1991,Charlie Byrd,It Don't Mean A Thing (If It Ain't Got That Swing)
1991,Charlie McCoy,Columbus Stockade Blues
1991,Charlie McCoy,Night Life
1991,Charlie Peacock,Forgiveness (Love Life Album Version)
1991,Charlie Peacock,After Lovin You (Love Life Album Version)
1991,Chelsea,Right to Work (Live)
1991,Cliff Edwards/Disney Studio Chorus,When You Wish Upon A Star
1991,Cocoa Tea,Can't Stop Cocoa Tea
1991,Cómplices,Ojos Gitanos
1991,DJ Quik,Born and Raised In Compton
1991,Del Tha Funkee Homosapien,Ya Lil' Crumbsnatchers (LP Version)
1991,Del Tha Funkee Homosapien,Mistadobalina
1991,Dexys Midnight Runners,Breaking Down The Walls Of Heartache
1991,Die Fantastischen Vier,Böse
1991,Dinosaur Jr,Green Mind
1991,Dinosaur Jr.,Whatever's Cool With Me (LP Version)
1991,Don Francisco,Give Your Heart a Home
1991,Don Francisco,Gotta Tell Somebody
1991,Don Gibson,I Love No One But You
1991,Falco,Junge Römer
1991,Fehlfarben,The Tarnished Angels (remastered)
1991,Flamin' Groovies,Step Up
1991,Francis Dunnery,The Possibilities of Loving You
1991,Fudge Tunnel,Bed Crumbs
1991,Fudge Tunnel,Gut Rot
1991,Fudge Tunnel,Spanish Fly
1991,Gabinete Caligari,Viaje Al Averno
1991,Gang Starr,Say Your Prayers
1991,Guns N' Roses,Locomotive (Complicity)
1991,Héroes del Silencio,El Mar No Cesa (Live)
1991,J.B.Lenoir,Let's Roll (Take 1)
1991,Jean Ferret,Les Deux Guitares
1991,Jean-Jacques Goldman,Comme Toi (Live)
1991,Jean-Jacques Goldman,Là-Bas
1991,João Gilberto,Eu E Meu Coracao
1991,Kathy Mattea,The Southern Soldier Boy
1991,Kool Moe Dee,Death Blow
1991,Little Willie John,Leave My Kitten Alone
1991,Los Auténticos Decadentes,El Vino Triste
1991,Marlene Dietrich,Laziest Gal In Town
1991,Marlene Dietrich,When Love Dies
1991,Maxi Priest,Groovin' In The Midnight
1991,Maxi Priest,Caution
1991,Memphis Minnie,My Butcher Man
1991,Mikey Dread,Quest for Oneness
1991,Moraes Moreira,Banho De Amor
1991,Mudhoney,The Money Will Roll Right In
1991,Natalie Cole,Don't Get Around Much Anymore
1991,PATSY CLINE & WILLIE NELSON,Life's Railway To Heaven
1991,Patrick Bruel,L'Appart
1991,Porcupine Tree,Music For The Head
1991,Red Hot Chili Peppers,Naked In The Rain (Album Version)
1991,Red Hot Chili Peppers,The Greeting Song (Album Version)
1991,Rick Astley,The Bottom Line
1991,Rickie Lee Jones,Second Time Around
1991,Rodney O & Joe Cooley,Nutty Block
1991,Seal,The Beginning (Giro E Giro Mix)
1991,Seguridad Social,Un Pensamiento
1991,Simple Minds,See The Lights (2002 Digital Remaster)
1991,Simply Red,Thrill Me
1991,Soundgarden,Slaves & Bulldozers
1991,Steel Pulse,We Can Do It
1991,Tad,Stumblin' Man (Album)
1991,Teenage Fanclub,I Don't Know
1991,Temple Of The Dog,Hunger Strike
1991,The Dylans,I Hope The Weather Stays Fine (Remix)
1991,The Fabulous Thunderbirds,When I Get Home
1991,The Prodigy,What Evil Lurks
1991,The Ronettes,Born To Be Together
1991,War Babies,Cry Yourself To Sleep
1991,fIREHOSE,Towin' The Line
1991,fIREHOSE,Tien An Man Dream Again
1992,99 Posse,Salario Garantito (Versione Strumentale)
1992,99 Posse,Rafaniello
1992,Agnostic Front,Undertow
1992,Al DiMeola,July
1992,Alceu Valença,Sete Desejos
1992,Alice In Chains,Brother
1992,Alice In Chains,God Smack
1992,Alice In Chains,Sickman
1992,Alice In Chains,Angry Chair
1992,Alice In Chains,Would?
1992,Amorphis,The Lost Name of God
1992,Annie Lennox,Little Bird
1992,Arc Angels,Sent By Angels
1992,Arc Angels,See What Tomorrow Brings
1992,Audio Adrenaline,My God  (Audio Adrenaline Album Version)
1992,Bad Religion,Fertile Crescent (bonus track)
1992,Big John Greer,Bottle It Up And Go
1992,Billie Jo Spears,It Makes No Difference Now
1992,Blue Rodeo,Fools Like You
1992,Bob Marley & The Wailers,Smile Jamaica
1992,C.J. Chenier,Banana Man
1992,CMW - Compton's Most Wanted,This Is A Gang
1992,Carpenters,An Old Fashioned Christmas
1992,Cocoa Tea,Cooling Out
1992,Cocoa Tea,100%
1992,Cracker,Dr. Bernice
1992,Deep Forest,Hunting
1992,EPMD,Head Banger
1992,Edith Lefel,L'a fête komine
1992,Eliane Elias,No More Blues (Chega de Saudade)
1992,Eyehategod,Left To Starve
1992,FU-Schnickens,Heavenly Father
1992,FU-Schnickens,True Fuschnick
1992,Falco,Monarchy Now
1992,Firehouse,Talk Of The Town
1992,Fontella Bass,You've Lost That Lovin' Feelin'
1992,France D' Amour,Ailleurs
1992,Gang Starr Featuring Jeru The Damaja And Lil Dap,I'm The Man (Explicit) (Feat. Jeru The Damaja And Lil Dap)
1992,Gary Moore,Nothing's The Same
1992,Gary Moore,Nothing's The Same (2002 Digital Remaster)
1992,Gene Autry,Blueberry Hill
1992,Heavenly,Smile
1992,Helmet,Give It
1992,Izzy Stradlin And The Ju Ju Hounds,Train Tracks
1992,Jaydee,Plastic Dreams
1992,Kathy Mattea,Standing Knee Deep In a River (Dying Of Thirst)
1992,L.A. Guns,Some Lie For Love
1992,L7,This Ain't Pleasure
1992,Lole y Manuel,Aljarafe
1992,Marlene Dietrich,Auf Der Mundharmonika
1992,Mau Mau,Neir
1992,Michael Gettel,Memory In The Snow
1992,Michael Gettel,Through Bucky's Eyes
1992,Michael Gettel,River Run
1992,Mighty Mighty Bosstones,They Came To Boston
1992,Mighty Mighty Bosstones,Guns And The Young
1992,NOFX,Stickin In My Eye
1992,Papa Wemba,Zero
1992,Peggy Lee,Mr. Wonderful
1992,Pete Rock & C.L. Smooth,They Reminisce Over You (Single Version)
1992,Ray Barretto,Guarare
1992,Redman,Jam 4 U
1992,Richard Galliano,Honey Fingers
1992,Rita Chiarelli,This Is My Life
1992,Rudolph Valentino,Kashmiri Love Song
1992,Shamen,Scientas
1992,Shamen,Phorever People
1992,Sierra Maestra,Abandonada / Blancas azucenas
1992,Sophie B. Hawkins,I Want You
1992,Spinal Tap,The Majesty Of Rock
1992,Stevie Ray Vaughan,Crossfire
1992,Suicidal Tendencies,It's Going Down
1992,Suicidal Tendencies,Monopoly On Sorrow
1992,Sunscreem,Perfect Motion
1992,Super Cat,Them No Care
1992,Super Cat,Oh It's You
1992,T.G. Sheppard,You're My First Lady
1992,Terry Riley,Peace Dance
1992,The B-52's,Tell It Like It T-I-IS (Album Version)
1992,The Black Crowes,Sting Me
1992,The Chieftains;Colin James,Cúnla/The Friar's Breeches
1992,The Disposable Heroes Of Hiphoprisy,Music And Politics
1992,The Jason Bonham Band,Bing
1992,The Jason Bonham Band,Hold On
1992,The Jeff Healey Band,It Could All Get Blown Away
1992,Tom Barabas,More Than Words
1992,Tom Barabas,Sedona Suite (Sunrise/Prayer/Joy/Sunset)
1992,Tom Cochrane,Washed Away
1992,U2,40
1992,Vilma Palma e Vampiros,Bye Bye
1992,W.A.S.P.,When The Levee Breaks
1992,W.A.S.P.,Phantoms In The Mirror
1992,Walter Trout,Earrings on the Table
1992,Wendy Moten,Make This Love Last
1992,Wesley Tuttle,With Tears In My Eyes
1992,Wet Wet Wet,Goodnight Girl
1992,Will Ackerman,A Movie Of A Placid Lake On A Moonless Night In September - Reprise
1992,Will Ackerman,A Movie Of A Placid Lake On A Moonless Night in September
1993,5th Ward Boyz,Studio Gangster
1993,5th Ward Boyz,Undercover Gangstas
1993,5th Ward Boyz,Ho Shit (Chopped&Screwed)
1993,ARRESTED DEVELOPMENT,Raining Revolution (Live) (Unplugged)
1993,Aerosmith,Cryin'
1993,Aerosmith,Crazy
1993,Aerosmith,Livin' On The Edge
1993,Aerosmith,Crazy
